Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
0,125,0,0,75,1,52,BT1,2,MI,1,AB01,AV,5000,2,1900,ARER,2
1,120,0,0,0,0,72,BT1,1,VA,0,AB03,BY,10000,2,1973,OMCE,1
1,150,0,0,0,0,61,BT1,1,VA,0,AB01,LV,9000,2,1991,OMCE,2
1,70,0,0,25,1,32,BT1,2,VA,0,AB05,AV,9000,0,1999,OMCE,1
1,140,0,0,0,0,41,BT1,1,MI,0,AB04,LV,5000,4,1986,META,1
1,120,0,0,0,0,58,BT1,1,VA,0,AB03,LV,5000,1,1974,ARER,2
0,90,0,0,60,1,56,BT1,2,MI,0,AB03,LA,9000,3,1910,META,1
0,125,0,0,0,0,61,BT1,1,VA,0,AB04,BY,10000,1,1966,ARER,1
0,140,0,0,0,0,63,BT1,1,VA,0,AB05,LV,8000,1,1975,META,2
1,135,0,0,0,0,47,BT1,1,MI,0,AB03,BY,9000,4,1981,ARER,1
1,115,0,0,25,1,62,BT1,2,AL,0,AB03,LA,7000,1,1880,ARER,1
0,120,0,0,0,0,43,BT3,2,VA,0,AB03,BY,15000,2,1971,ARER,2
0,100,0,0,45,1,73,BT1,2,VA,0,AB03,AO,6000,2,1910,TLEG,1
0,140,0,0,0,0,53,BT1,1,MI,1,AB03,LA,6000,4,1900,TLEG,1
1,115,15,1,0,0,59,BT1,1,VA,0,AB03,LV,18000,1,1959,ARER,2
0,65,0,0,25,1,66,BT1,2,VA,0,AB03,LV,8000,2,1880,META,1
0,120,120,1,60,1,32,BT1,2,VA,0,AB03,LV,3000,0,1940,ARER,3
1,70,35,1,0,0,49,BT1,1,MI,0,AB03,AV,4000,2,1950,META,1
1,70,0,0,25,1,50,BT1,2,MI,0,AB03,AV,14000,2,1860,ARER,1
1,60,10,1,30,1,72,BT1,2,VA,0,AB03,BY,13000,1,1950,TLEG,1
0,125,0,0,0,0,58,BT1,1,VA,1,AB03,BY,15000,2,1972,ARER,2
0,130,0,0,0,0,37,BT1,1,AL,0,AB05,LV,13000,2,2006,OMCE,2
1,170,0,0,0,0,70,BT1,1,AL,0,AB05,BY,15000,2,1988,TLEG,2
0,130,0,0,85,1,43,BT1,2,VA,0,AB04,BY,7000,2,1968,ARER,2
1,180,0,0,0,0,57,BT1,1,VA,0,AB03,BY,15000,2,2007,OMCE,2
1,150,0,0,0,0,70,BT1,1,VA,0,AB03,AO,26000,2,1925,ARER,1
0,110,5,1,20,1,32,BT1,2,VA,0,AB03,AV,4000,0,1930,ARER,1
1,135,0,0,0,0,48,BT1,1,VA,0,AB01,LV,8000,4,1978,OMCE,1
0,75,0,0,55,1,69,BT1,2,VA,0,AB03,LV,11000,1,1935,META,1
1,60,0,0,35,1,43,BT1,2,VA,0,AB03,BY,6000,2,1925,TLEG,1
0,135,0,0,0,0,60,BT1,1,MI,0,AB03,LA,8000,2,1988,ARER,2
0,90,65,1,50,1,73,BT1,2,MI,0,AB03,BY,8000,1,1950,TLEG,2
0,60,0,0,30,1,73,BT3,2,VA,0,AB01,BY,7000,1,1900,ARER,1
1,220,0,0,0,0,52,BT1,1,VA,1,AB03,BY,12000,2,1971,TLEG,3
0,105,0,0,0,0,70,BT1,1,VA,0,AB03,AV,4000,2,1969,ARER,1
0,130,5,1,0,0,90,BT1,1,MI,0,AB03,BY,10000,1,1959,ARER,2
1,165,0,0,0,0,73,BT1,1,VA,0,AB02,BY,13000,2,1983,OMCE,2
1,70,0,0,0,0,55,BT3,1,MI,0,AB03,BY,10000,4,1977,ARER,1
1,110,0,0,0,0,75,BT1,1,VA,0,AB06,BY,21000,2,1945,ARER,3
1,105,0,0,0,0,81,BT3,1,VA,0,AB02,LA,16000,2,2006,TGAR,1
1,140,0,0,0,0,71,BT1,1,AL,0,AB03,LA,12000,2,1969,ARER,1
1,65,5,1,40,1,33,BT1,2,VA,0,AB03,LV,8000,4,1900,ARER,1
1,65,65,1,50,1,57,BT1,2,VA,0,AB04,BY,8000,1,1950,TLEG,1
1,170,0,0,0,0,44,BT1,1,MI,1,AB03,LV,10000,4,2007,TGAR,2
1,80,0,0,0,0,62,BT1,1,MI,1,AB03,BY,14000,2,1955,META,1
0,160,0,0,100,1,42,BT1,2,VA,0,AB03,LV,4000,6,1975,OMCE,3
0,95,0,0,0,0,32,BT1,1,VA,0,AB03,AV,6000,0,1900,ARER,1
1,175,0,0,0,0,56,BT1,1,AL,0,AB02,BY,10000,3,1973,ARER,1
1,135,0,0,0,0,65,BT1,1,VA,0,AB03,BY,10000,3,1963,BAAR,1
0,75,5,1,35,1,50,BT1,2,MI,0,AB03,AO,10000,1,1860,STRA,1
1,125,0,0,0,0,63,BT1,1,VA,0,AB02,LV,10000,2,1979,OMCE,1
0,120,0,0,80,1,69,BT1,2,AL,1,AB03,LV,5000,2,1971,ARER,2
1,115,0,0,0,0,48,BT1,1,VA,0,AB01,LV,10000,3,1986,OMCE,1
1,165,0,0,0,0,41,BT1,1,VA,1,AB03,BY,13000,4,2008,OMCE,2
0,140,0,0,0,0,36,BT1,1,VA,0,AB03,LV,6000,5,1959,TGAR,2
1,125,0,0,0,0,70,BT1,1,VA,0,AB01,LV,5000,2,1972,ARER,1
1,75,75,1,0,0,70,BT1,1,MI,0,AB03,LV,7000,2,1956,ARER,2
0,120,35,1,0,0,68,BT1,1,VA,0,AB04,AV,7000,1,1966,ARER,1
0,120,0,0,45,1,50,BT1,2,VA,1,AB04,BY,13000,1,2016,TLEG,2
1,145,0,0,5,1,51,BT1,1,MI,1,AB03,BY,7000,3,1978,ARER,2
1,105,35,1,0,0,53,BT1,1,MI,0,AB03,BY,9000,1,1960,ARER,1
0,260,70,1,0,0,76,BT1,1,VA,0,AB03,BY,10000,2,1974,BAAR,4
0,90,0,0,0,0,78,BT1,1,MI,0,AB03,BY,18000,2,2005,OMCE,1
1,110,0,0,0,0,67,BT3,1,VA,0,AB02,BY,13000,1,2007,TLEG,1
0,210,0,0,40,1,61,BT1,3,AL,1,AB05,LA,8000,2,1900,ARER,3
1,135,20,1,35,1,68,BT1,2,VA,0,AB03,AV,6000,2,1945,TLEG,2
1,110,0,0,0,0,30,BT1,1,VA,0,AB01,BY,8000,3,2012,TGAR,2
0,140,0,0,90,1,30,BT1,2,VA,0,AB03,LV,8000,3,1910,TLEG,3
1,110,0,0,0,0,70,BT1,1,MI,0,AB03,BY,12000,1,1986,TLEG,1
1,105,0,0,70,1,75,BT1,2,VA,0,AB01,LV,3000,1,1971,ARER,2
0,75,25,1,50,1,74,BT3,2,AL,0,AB01,BY,20000,1,1940,TLEG,1
1,175,10,1,0,0,29,BT1,1,AL,0,AB02,BY,9000,1,1961,TGAR,1
0,175,0,0,0,0,51,BT1,1,VA,0,AB03,BY,3000,4,2015,TLEG,2
1,80,40,1,40,1,51,BT1,2,MI,0,AB02,BY,6000,4,1940,TLEG,1
0,110,0,0,0,0,64,BT1,1,VA,0,AB03,AV,7000,2,1964,ARER,1
1,130,0,0,0,0,51,BT1,1,VA,0,AB02,BY,15000,3,1969,BAAR,2
0,190,0,0,0,0,45,BT1,1,VA,0,AB03,BY,12000,4,1965,ARER,2
1,105,0,0,40,1,46,BT1,2,AL,0,AB04,BY,6000,3,1935,OMCE,1
0,170,0,0,0,0,49,BT1,1,VA,0,AB05,BY,14000,4,1980,TLEG,2
1,110,0,0,0,0,47,BT1,1,VA,0,AB03,BY,19000,3,2000,OMCE,2
0,65,15,1,25,1,70,BT1,2,VA,0,AB03,BY,7000,1,1880,ARER,1
1,130,80,1,0,0,52,BT1,1,VA,1,AB03,AV,6000,5,1973,ARER,2
0,160,0,0,85,1,65,BT1,2,VA,0,AB04,BY,5000,2,1976,ARER,3
0,115,0,0,0,0,66,BT1,1,VA,0,AB03,BY,11000,1,1962,BAAR,1
1,120,70,1,0,0,41,BT1,1,MI,0,AB04,LA,13000,4,1956,ARER,1
1,125,0,0,0,0,73,BT1,0,VA,0,AB03,BY,14000,2,2015,OMCE,1
1,165,0,0,0,0,83,BT1,1,VA,0,AB03,BY,6000,1,1962,OMCE,2
1,190,0,0,0,0,33,BT1,1,VA,0,AB04,LV,5000,3,1973,OMCE,2
0,80,0,0,40,1,44,BT1,2,AL,0,AB02,AV,5000,1,1920,ARER,1
1,150,0,0,0,0,41,BT1,1,MI,0,AB01,BY,11000,3,1979,OMCE,2
1,115,85,1,0,0,84,BT1,1,VA,0,AB03,BY,15000,1,1962,ARER,2
1,165,0,0,0,0,49,BT1,1,VA,0,AB03,BY,9000,3,1980,OMCE,2
0,60,0,0,40,1,49,BT3,2,MI,0,AB01,BY,12000,1,1900,ARER,2
1,230,0,0,0,0,42,BT1,1,MI,0,AB03,LV,6000,1,1970,TGAR,3
0,170,0,0,0,0,35,BT1,1,MI,1,AB04,BY,10000,4,1980,ARER,2
1,200,0,0,0,0,53,BT1,1,MI,0,AB02,AV,8000,3,1997,OMCE,2
0,150,50,1,0,0,49,BT1,1,VA,0,AB03,BY,10000,5,1964,ARER,2
1,140,0,0,0,0,47,BT1,1,VA,0,AB03,BY,10000,3,1970,OMCE,2
1,130,0,0,0,0,33,BT3,0,VA,0,AB06,BY,20000,3,2016,OMCE,2
0,185,0,0,0,0,52,BT1,1,VA,1,AB01,BY,9000,3,1966,TLEG,2
0,75,0,0,0,0,65,BT1,1,MI,0,AB03,LV,7000,1,1950,ARER,1
1,115,0,0,0,0,81,BT3,1,VA,0,AB03,BY,14000,2,2006,TLEG,1
0,135,0,0,0,0,40,BT1,1,VA,0,AB03,BY,12000,5,1982,OMCE,1
0,140,0,0,0,0,45,BT1,1,AL,0,AB03,BY,19000,4,2008,OMCE,2
1,90,0,0,25,1,45,BT1,2,MI,0,AB03,BY,8000,3,1935,ARER,2
1,165,0,0,0,0,47,BT1,1,MI,0,AB03,BY,18000,4,2007,OMCE,2
1,90,0,0,55,1,57,BT1,2,AL,0,AB03,LA,8000,2,1978,ARER,1
1,140,0,0,0,0,52,BT1,1,MI,0,AB01,BY,10000,3,1980,OMCE,2
1,145,0,0,0,0,49,BT1,1,VA,0,AB01,BY,10000,3,1999,OMCE,2
0,175,85,1,0,0,47,BT1,1,VA,1,AB02,BY,12000,3,1970,TLEG,3
1,200,105,1,0,0,55,BT1,1,VA,0,AB03,AV,13000,2,2012,TGAR,2
1,170,0,0,0,0,27,BT1,1,VA,0,AB03,BY,8000,4,1962,ARER,2
1,140,0,0,0,0,54,BT1,1,VA,0,AB03,LV,5000,2,1959,ARER,2
1,110,0,0,0,0,60,BT3,1,AL,0,AB03,BY,14000,1,1967,TLEG,1
0,190,0,0,0,0,59,BT1,1,VA,0,AB03,BY,6000,2,1965,ARER,2
0,140,0,0,0,0,72,BT1,1,VA,0,AB03,LV,14000,2,1998,OMCE,1
1,110,0,0,30,1,58,BT1,2,VA,1,AB02,LA,6000,2,1880,TLEG,1
1,50,0,0,15,1,58,BT1,2,MI,1,AB03,AO,9000,2,1900,TLEG,1
1,60,0,0,25,1,58,BT1,2,VA,1,AB03,AO,7000,2,1915,OMCE,1
1,80,10,1,30,1,58,BT1,2,AL,1,AB02,LA,9000,2,1930,ARER,1
1,90,0,0,0,0,58,BT1,0,MI,1,AB03,LA,9000,2,1900,TLEG,2
1,110,0,0,0,0,58,BT1,1,MI,0,AB03,BY,9000,2,1978,OMCE,1
1,175,35,1,0,0,54,BT1,1,MI,1,AB03,BY,22000,2,1983,TLEG,2
0,95,0,0,0,0,58,BT3,1,VA,0,AB03,BY,22000,1,1961,ARER,1
1,130,0,0,0,0,44,BT1,1,MI,0,AB03,LA,9000,4,1966,ARER,1
1,165,0,0,0,0,57,BT1,1,VA,1,AB03,BY,8000,2,2016,TGAR,2
1,75,20,1,0,0,32,BT1,1,MI,0,AB02,BY,13000,0,1945,TLEG,1
1,230,0,0,0,0,34,BT1,1,CA,0,AB03,LV,11000,4,2010,TGAR,2
1,70,0,0,60,1,66,BT3,2,MI,0,AB02,BY,15000,2,1980,OMCE,2
0,135,0,0,0,0,79,BT1,1,VA,0,AB02,BY,24000,1,1966,ARER,2
1,115,0,0,0,0,56,BT1,1,VA,0,AB01,BY,10000,2,1979,ARER,1
1,310,160,1,0,0,74,BT1,2,VA,0,AB03,BY,37000,2,1930,TLEG,4
1,85,60,1,60,1,32,BT1,2,AL,0,AB05,BY,9000,0,1910,OMCE,2
1,100,0,0,35,1,32,BT1,2,VA,1,AB03,AO,9000,5,1925,OMCE,1
1,190,0,0,0,0,40,BT1,0,VA,0,AB03,BY,13000,2,2016,TLEG,2
1,130,0,0,55,1,60,BT1,2,AL,1,AB03,LV,5000,2,1915,TLEG,2
0,135,10,1,100,1,59,BT1,2,VA,0,AB05,AV,4000,2,1860,ARER,2
0,85,0,0,0,0,80,BT1,1,MI,0,AB03,AV,11000,1,1820,ARER,1
1,115,0,0,0,0,53,BT3,2,VA,0,AB02,BY,13000,2,1977,META,2
0,110,0,0,0,0,53,BT1,1,AL,0,AB01,BY,7000,1,1959,ARER,1
1,105,0,0,0,0,59,BT1,1,VA,0,AB03,BY,11000,3,1972,ARER,1
0,130,0,0,0,0,32,BT3,1,MI,0,AB03,LV,9000,0,2002,OMCE,2
1,145,0,0,0,0,79,BT1,1,VA,0,AB03,LV,7000,2,1971,ARER,2
1,120,0,0,0,0,45,BT3,2,VA,0,AB04,BY,20000,3,1976,TLEG,2
1,105,0,0,0,0,47,BT1,1,VA,1,AB03,LA,13000,3,1965,BAAR,1
1,130,65,1,0,0,43,BT3,2,VA,1,AB05,BY,15000,3,1974,BAAR,3
1,195,0,0,0,0,63,BT1,1,MI,0,AB04,AV,4000,1,1880,ARER,1
0,100,0,0,0,0,45,BT3,2,MI,0,AB05,BY,13000,1,1998,OMCE,1
1,85,0,0,65,1,42,BT3,2,VA,0,AB02,BY,8000,3,1860,TLEG,2
1,160,0,0,0,0,35,BT1,0,VA,0,AB03,BY,8000,4,2016,TLEG,2
0,160,0,0,0,0,66,BT1,1,VA,1,AB03,BY,15000,1,1999,TLEG,2
1,90,0,0,0,0,82,BT1,1,VA,0,AB03,AV,11000,1,1965,ARER,1
1,100,0,0,0,0,61,BT3,1,VA,0,AB03,LA,18000,1,1997,OMCE,1
1,160,0,0,0,0,63,BT1,1,VA,0,AB03,LV,10000,2,1977,ARER,2
1,100,35,1,55,1,48,BT1,2,VA,0,AB03,BY,11000,4,1945,OMCE,2
0,105,0,0,0,0,58,BT1,1,VA,0,AB03,BY,13000,1,1981,OMCE,1
1,150,0,0,0,0,75,BT1,1,VA,0,AB03,LV,7000,2,1971,ARER,2
1,110,0,0,0,0,70,BT1,1,AL,0,AB03,LV,6000,2,1972,ARER,1
0,130,0,0,0,0,77,BT1,1,VA,0,AB03,BY,11000,2,1977,OMCE,2
0,145,0,0,0,0,53,BT1,1,VA,0,AB04,BY,10000,1,2000,OMCE,2
1,240,55,1,0,0,72,BT1,2,VA,0,AB03,BY,12000,2,1971,TGAR,2
1,100,50,1,40,1,60,BT3,3,AL,1,AB01,BY,32000,1,1880,ARER,3
0,170,0,0,0,0,49,BT1,1,VA,0,AB03,LA,9000,3,1974,OMCE,2
1,135,0,0,55,1,59,BT1,2,MI,1,AB03,BY,11000,1,1969,ARER,2
1,75,5,1,40,1,72,BT1,2,VA,0,AB04,AO,6000,1,1910,TLEG,1
1,110,0,0,0,0,51,BT3,1,VA,1,AB03,BY,19000,3,1970,BAAR,2
1,180,0,0,0,0,42,BT1,1,VA,1,AB03,BY,12000,2,1983,A0DM,2
1,95,45,1,50,1,68,BT1,2,MI,0,AB03,BY,23000,2,1958,ARER,1
1,135,95,1,0,0,72,BT1,1,VA,0,AB05,BY,12000,1,1945,ARER,2
0,115,0,0,0,0,33,BT3,1,VA,0,AB01,LV,18000,1,2007,TLEG,1
1,170,0,0,0,0,39,BT1,0,VA,0,AB03,BY,11000,4,2016,OMCE,2
1,230,0,0,0,0,43,BT1,1,VA,1,AB02,BY,18000,5,2009,OMCE,2
1,95,0,0,65,1,41,BT1,2,MI,1,AB01,AO,11000,2,2006,TLEG,1
0,200,0,0,0,0,61,BT1,1,VA,0,AB03,BY,13000,2,2010,TLEG,2
1,170,10,1,20,1,38,BT1,2,VA,0,AB04,AV,4000,1,1940,ARER,1
0,105,0,0,40,1,69,BT1,2,VA,0,AB02,LV,14000,2,1961,TLEG,2
1,145,0,0,0,0,43,BT1,1,VA,1,AB03,BY,15000,5,1979,ARER,2
1,155,0,0,0,0,37,BT1,0,VA,0,AB03,LA,17000,5,2015,OMCE,2
1,180,0,0,0,0,67,BT1,1,VA,0,AB03,BY,18000,2,1970,ARER,2
1,155,0,0,0,0,47,BT1,1,MI,0,AB03,LV,8000,4,1975,ARER,2
1,75,0,0,40,1,59,BT1,2,MI,0,AB05,LV,10000,2,1930,TLEG,1
0,105,0,0,0,0,64,BT3,1,VA,0,AB03,BY,17000,2,1988,OMCE,1
0,150,0,0,0,0,59,BT1,1,VA,0,AB02,BY,9000,2,1967,ARER,2
1,175,0,0,0,0,34,BT1,1,MI,0,AB04,BY,12000,4,2002,OMCE,2
1,155,0,0,0,0,73,BT1,1,VA,0,AB02,LV,9000,1,1964,ARER,1
1,120,0,0,0,0,70,BT1,1,VA,0,AB01,LV,5000,2,1977,ARER,1
1,110,0,0,0,0,52,BT3,2,VA,0,AB04,BY,23000,2,2006,TGAR,1
1,135,0,0,0,0,73,BT1,1,AL,0,AB05,BY,9000,2,1980,TLEG,2
1,90,0,0,0,0,73,BT1,1,VA,0,AB03,LV,6000,2,1935,ARER,1
1,50,10,1,30,1,41,BT3,2,MI,0,AB03,BY,7000,1,1900,TLEG,1
0,50,0,0,40,1,53,BT1,2,VA,0,AB03,BY,7000,2,1905,ARER,1
0,90,0,0,0,0,53,BT3,1,VA,0,AB03,BY,14000,2,1995,TLEG,1
1,140,0,0,0,0,54,BT1,1,MI,1,AB03,BY,10000,3,1995,TLEG,1
1,110,0,0,0,0,72,BT1,1,VA,0,AB03,BY,9000,2,1964,ARER,1
1,80,0,0,45,1,57,BT1,2,VA,0,AB04,LV,7000,3,1925,TLEG,2
0,155,0,0,0,0,47,BT1,1,VA,0,AB03,BY,10000,3,1999,OMCE,2
1,90,0,0,0,0,48,BT1,1,MI,0,AB03,LV,7000,4,1964,ARER,1
0,145,0,0,0,0,51,BT1,1,VA,0,AB04,LV,6000,2,1970,ARER,1
1,100,0,0,0,0,30,BT3,1,AL,0,AB03,BY,9000,2,1980,TLEG,1
1,95,0,0,0,0,57,BT1,1,VA,0,AB03,LV,6000,1,1967,ARER,1
1,70,55,1,40,1,54,BT3,2,VA,0,AB01,BY,10000,1,1880,ARER,1
1,85,0,0,50,1,60,BT1,2,MI,0,AB03,LV,6000,1,1880,TLEG,1
0,75,70,1,0,0,70,BT1,1,VA,0,AB03,LV,10000,1,1935,TGAR,1
1,110,0,0,0,0,68,BT1,1,MI,0,AB02,LV,6000,2,1968,TGAR,1
0,190,0,0,0,0,51,BT1,1,VA,0,AB03,BY,8000,4,1976,ARER,2
1,165,0,0,0,0,72,BT1,1,MI,0,AB02,BY,11000,2,1962,ARER,1
1,65,45,1,50,1,53,BT3,2,VA,0,AB04,BY,25000,1,1955,TLEG,1
1,160,0,0,0,0,56,BT1,1,MI,1,AB03,LV,10000,6,1988,OMCE,2
1,145,0,0,0,0,65,BT1,1,AL,0,AB03,LA,6000,2,1980,ARER,2
0,65,0,0,0,0,53,BT3,1,VA,0,AB03,LV,7000,1,1978,ARER,1
0,130,0,0,0,0,50,BT1,1,VA,1,AB01,LV,7000,1,1964,ARER,1
1,120,0,0,0,0,52,BT1,1,VA,0,AB03,BY,11000,2,1963,ARER,1
1,185,0,0,0,0,57,BT1,1,VA,0,AB04,BY,20000,2,1999,OMCE,2
1,120,0,0,0,0,73,BT1,1,MI,0,AB03,LV,4000,2,1965,ARER,1
1,200,75,1,0,0,55,BT1,1,VA,0,AB03,BY,7000,4,1975,ARER,2
1,120,0,0,0,0,31,BT1,1,MI,0,AB05,BY,13000,4,1986,OMCE,1
1,80,80,1,50,1,70,BT1,2,MI,0,AB02,BY,13000,2,1940,TLEG,2
1,95,0,0,0,0,80,BT1,1,VA,0,AB03,LA,10000,2,1965,ARER,1
1,130,80,1,70,1,64,BT1,2,MI,1,AB01,BY,7000,2,1910,TLEG,2
0,160,0,0,0,0,69,BT1,1,VA,0,AB04,BY,10000,2,1966,META,2
